READ MEAN QUALITY,Read1,Q11 Reads,2
READ MEAN QUALITY,Read1,Q15 Reads,1
READ MEAN QUALITY,Read1,Q17 Reads,3
READ MEAN QUALITY,Read1,Q18 Reads,4
READ MEAN QUALITY,Read1,Q19 Reads,10
READ MEAN QUALITY,Read1,Q20 Reads,25
READ MEAN QUALITY,Read1,Q21 Reads,74
READ MEAN QUALITY,Read1,Q22 Reads,187
READ MEAN QUALITY,Read1,Q23 Reads,394
READ MEAN QUALITY,Read1,Q24 Reads,873
READ MEAN QUALITY,Read1,Q25 Reads,1516
READ MEAN QUALITY,Read1,Q26 Reads,2726
READ MEAN QUALITY,Read1,Q27 Reads,4365
READ MEAN QUALITY,Read1,Q28 Reads,7350
READ MEAN QUALITY,Read1,Q29 Reads,11935
READ MEAN QUALITY,Read1,Q30 Reads,18247
READ MEAN QUALITY,Read1,Q31 Reads,27244
READ MEAN QUALITY,Read1,Q32 Reads,39030
READ MEAN QUALITY,Read1,Q33 Reads,54871
READ MEAN QUALITY,Read1,Q34 Reads,76631
READ MEAN QUALITY,Read1,Q35 Reads,125813
READ MEAN QUALITY,Read1,Q36 Reads,270233
READ MEAN QUALITY,Read1,Q37 Reads,957699
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 1 A Average Quality,36.07
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 2 A Average Quality,35.90
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 3 A Average Quality,36.04
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 4 A Average Quality,35.99
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 5 A Average Quality,35.93
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 6 A Average Quality,35.92
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 7 A Average Quality,35.94
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 8 A Average Quality,35.96
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 9 A Average Quality,35.91
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 10 A Average Quality,35.88
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 11 A Average Quality,35.85
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 12 A Average Quality,35.91
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 13 A Average Quality,35.89
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 14 A Average Quality,35.88
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 15 A Average Quality,35.86
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 16 A Average Quality,35.83
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 17 A Average Quality,35.87
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 18 A Average Quality,35.86
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 19 A Average Quality,35.92
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 20 A Average Quality,35.83
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 21 A Average Quality,35.91
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 22 A Average Quality,35.89
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 23 A Average Quality,35.82
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 24 A Average Quality,35.88
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 25 A Average Quality,35.93
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 26 A Average Quality,35.77
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 1 C Average Quality,35.96
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 2 C Average Quality,36.00
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 3 C Average Quality,36.14
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 4 C Average Quality,36.17
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 5 C Average Quality,36.14
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 6 C Average Quality,36.13
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 7 C Average Quality,36.15
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 8 C Average Quality,36.17
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 9 C Average Quality,36.17
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 10 C Average Quality,36.13
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 11 C Average Quality,36.14
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 12 C Average Quality,36.16
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 13 C Average Quality,36.14
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 14 C Average Quality,36.14
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 15 C Average Quality,36.09
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 16 C Average Quality,36.11
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 17 C Average Quality,36.10
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 18 C Average Quality,36.05
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 19 C Average Quality,36.05
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 20 C Average Quality,35.99
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 21 C Average Quality,35.99
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 22 C Average Quality,35.99
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 23 C Average Quality,35.98
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 24 C Average Quality,35.97
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 25 C Average Quality,35.96
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 26 C Average Quality,35.98
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 1 G Average Quality,35.53
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 2 G Average Quality,35.39
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 3 G Average Quality,35.50
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 4 G Average Quality,35.65
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 5 G Average Quality,35.59
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 6 G Average Quality,35.66
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 7 G Average Quality,35.62
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 8 G Average Quality,35.70
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 9 G Average Quality,35.67
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 10 G Average Quality,35.66
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 11 G Average Quality,35.70
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 12 G Average Quality,35.75
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 13 G Average Quality,35.73
POSITIONAL BASE MEAN QUALITY,Read1,ReadPos 14 G Average Quality,35.74
